total_meters,price,floor,floors_count,rooms_count,location,district,underground
63.0,21800000,6,24,1,1,107,171
41.0,22000000,10,15,1,1,22,28
30.2,22200000,9,9,1,1,62,27
50.0,22500000,16,21,1,1,21,22
42.1,22400000,22,24,1,1,59,71
44.0,22600000,10,14,1,1,43,162
38.0,22700000,9,24,1,1,1,92
42.0,23200000,18,30,1,1,3,58
47.0,23400000,9,31,1,1,21,22
34.6,23300000,22,22,1,1,5,5
33.2,23500000,3,32,1,1,29,69
43.5,24000000,4,27,1,1,7,64
35.0,24400000,19,26,1,1,39,158
38.3,24500000,9,19,1,1,59,71
49.0,25000000,16,33,1,1,29,34
35.3,25000000,6,34,1,1,93,96
43.0,25000000,5,30,1,1,93,96
48.2,25000000,22,22,1,1,50,56
47.0,25000000,7,25,1,1,24,29
43.0,25000000,5,32,1,1,93,96
46.0,25900000,21,22,1,1,22,28
43.0,26000000,4,16,1,1,30,50
36.4,26499000,20,36,1,1,29,197
42.0,26450000,6,10,1,1,37,42
53.0,27500000,5,11,1,1,30,73
34.1,28098400,5,6,1,1,9,147
45.6,28900000,4,16,1,1,30,50
42.1,30100000,4,8,1,1,29,166
41.5,30256862,16,20,1,1,105,192
42.0,31390000,12,13,1,1,44,52
49.9,32435000,5,9,1,1,38,163
68.9,33368000,2,26,1,1,7,64
45.0,36900000,3,3,1,1,106,199
45.0,41400000,2,3,1,1,106,199
43.0,42990000,3,20,1,1,38,44
51.0,45000000,2,12,1,1,45,52
31.4,46000000,10,11,1,1,62,200
44.0,49400000,3,5,1,1,104,201
44.5,49400000,3,5,1,1,104,201
50.0,51500000,4,4,1,1,95,143
50.0,65000000,4,8,1,1,94,201
10.7,3200000,3,31,1,1,25,54
15.0,4000000,1,5,1,1,40,202
8.3,4200000,1,14,1,1,31,173
10.0,4490000,3,3,1,1,96,146
13.0,4600000,3,9,1,1,23,114
15.7,4700000,1,24,1,1,5,5
14.0,4850000,2,3,1,1,55,66
14.0,4900000,2,4,1,1,55,66
20.6,4950000,1,5,1,1,17,18
17.5,5300000,3,7,1,1,114,111
18.0,5400000,3,3,1,1,55,66
15.2,5500000,2,2,1,1,81,41
11.6,5626000,4,4,1,1,38,203
14.2,5700000,1,4,1,1,101,4
25.0,5899999,6,6,1,1,101,4
25.0,5950000,6,6,1,1,101,4
16.3,5950000,3,6,1,1,29,204
18.7,5900000,4,5,1,1,65,205
17.2,6141432,4,8,1,1,43,51
18.0,6270000,5,5,1,1,78,206
15.0,6200000,1,4,1,1,99,15
19.0,6200000,1,5,1,1,43,3
27.0,6333000,2,8,1,1,43,51
40.0,6500000,1,1,1,1,25,207
37.0,6500000,3,5,1,1,115,208
20.3,6749100,5,8,1,1,43,51
20.0,6799999,3,5,1,1,78,209
30.0,6750000,6,6,1,1,101,4
38.4,6885000,16,17,1,1,2,210
27.0,6944049,4,8,1,1,43,51
28.0,6950000,2,8,1,1,43,51
32.0,7200000,4,6,1,1,92,118
18.4,7200000,4,6,1,1,66,100
18.9,7200000,1,7,1,1,3,155
32.5,7200000,1,9,1,1,20,21
19.0,7300000,10,10,1,1,1,32
22.0,7300000,7,9,1,1,20,21
18.0,7300000,1,5,1,1,49,211
15.2,7372000,3,4,1,1,38,203
45.0,7400000,1,6,1,1,103,159
33.0,7400000,7,9,1,1,116,65
21.0,7450000,1,4,1,1,99,15
33.0,7500000,1,9,1,1,46,33
33.4,7500000,6,6,1,1,66,100
20.5,7500000,1,6,1,1,45,160
34.2,7500000,9,22,1,1,79,33
31.8,7500000,1,9,1,1,46,33
32.8,7500000,1,9,1,1,12,48
39.5,7600000,4,4,1,1,115,208
33.2,7600000,1,9,1,1,10,11
27.3,7600000,9,14,1,1,100,33
37.5,7700000,5,15,1,1,25,53
32.5,7700000,8,9,1,1,116,212
39.9,7800000,5,24,1,1,25,53
30.2,7800000,1,9,1,1,109,213
41.8,7850000,10,17,1,1,25,53
32.6,7850000,9,9,1,1,117,33
36.8,7990000,1,16,1,1,56,81
31.4,7900000,1,5,1,1,19,4
37.0,7950000,1,14,1,1,28,33
34.2,7900000,1,16,1,1,6,6
17.0,7990000,1,5,1,1,43,51
29.2,7999999,1,12,1,1,52,59
42.0,7999000,2,17,1,1,25,53
24.1,7990000,2,18,1,1,25,214
32.0,7900000,1,5,1,1,109,213
26.6,7900000,4,9,1,1,4,4
42.0,8000000,9,17,1,1,25,53
38.0,8000000,17,17,1,1,46,33
34.4,8000000,6,8,1,1,73,159
23.0,8000000,1,12,1,1,39,215
42.2,8000000,9,17,1,1,25,53
38.0,8000000,3,17,1,1,20,21
32.7,8000000,2,5,1,1,12,48
32.0,8000000,1,5,1,1,19,4
17.5,8000000,5,5,1,1,88,116
26.2,8000000,10,14,1,1,87,115
35.0,8000000,7,9,1,1,20,21
38.0,8000000,10,15,1,1,25,53
30.3,8000000,1,9,1,1,15,16
40.9,8000000,1,4,1,1,34,216
42.3,8000000,2,10,1,1,25,53
32.8,8100000,1,9,1,1,86,113
32.4,8100000,1,9,1,1,73,153
32.4,8100000,4,9,1,1,20,21
24.8,8100000,9,9,1,1,64,217
35.0,8100000,1,12,1,1,73,153
31.0,8050000,14,17,1,1,2,2
31.4,8100000,3,4,1,1,60,48
39.4,8100000,5,14,1,1,25,207
26.7,8144670,4,8,1,1,43,51
31.3,8100000,2,9,1,1,46,33
33.0,8150000,1,9,1,1,71,68
